content,id,nickname,productColor,productId,productSize,score
"外形外观：绿色
屏幕音效：声音很大
拍照效果：清晰 各种不同光线都能拍出美美的照片 特别是4k模式摄像功能
运行速度：流畅，快
待机时间：不怎样
京东包装严实，配送员很细心负责。手机全新，已验证，安全上岸，没有任何质量问题。再说说手机本身，全新的设计，机身很轻巧，防水，做工坚硬。屏幕显示素质高，搭载最新a14的芯片让你感受什么叫做纵享丝滑的体验。升级5g信号，比以往信号更强。相机易用性高，视频拍摄操作简单，扬声器音质一流。ios系统，就是最棒的系统。",15002400219,jd_186503bcy,绿色,100018281836,128GB,5
很轻，很薄，续航够用，5G多余，颜值很好看，从X换到11 ，到12终于有个手机背面正面样子都符合自己口味的了,14841940388,啊不溜秋的,白色,100018281836,128GB,5
收货速度很快，是喜欢的苹果绿，颜色特别温柔，超级好看，很轻巧，拍照效果也很棒，网络很流畅，除了贵没毛病，拿在手里手感也很好，回到了苹果5的时代，6.1寸的女孩子拿在手里刚刚好,15307947046,登高望天涯,绿色,100018281836,128GB,5
"外形外观：颜色没有拍照的那么蓝，颜色是偏深一点的
屏幕音效：声音感觉比我的xr声音大。
刚拿到手没有任何问题，感觉比xr薄，比xr小一点，比xr轻，拿在手中很舒服，快递刚拿到的时候，盒子是真小啊，苹果真省。
拍照很流畅很舒服，信号是比我以前用的xr好那么点",15038940776,不学好的孩子呵,蓝色,100018281836,256GB,5
"外形外观：依旧心头最爱?
屏幕音效：还是原来的味道，去噪真实
拍照效果：强大
运行速度：十分流畅
待机时间：一天以上
其他特色：送的mac卡，一开始以为是内存卡，到了发现是买mac的优惠卡哈哈?",15161896497,K***u,白色,100018281836,256GB,5
"外形外观：铝合金边框挺好的，不沾指纹
屏幕音效：很棒，色彩饱和度很好，外放也不错
拍照效果：夜拍很好
运行速度：A14很棒的处理器了
待机时间：待机一天，吃鸡，音乐，不停可以用6个小时
其他特色：信号换了高通外挂感觉没什么感觉",14837218590,小CJ520,白色,100018281836,128GB,5
期盼已久的苹果12到手了，手感非常棒，6.1的屏幕，单手操作无压力，流畅性很好，拍照拍视频清晰无比，打开APP反应也是很快，之前的果6卡的不行了，换了12心情顺畅多了。,15263150570,J园游会,白色,100018281836,128GB,5
感谢京东的及时备货发货。第一时间拿到了新机。喜欢这蓝色。和前一个iPhone11相比有如下优点。变薄了很多（iPhone11的厚度太不苹果了）。四周平直设计使握持更容易。手机也轻了很多。屏幕四周的黑边也变窄很多。顺眼了。电池在办公上班的正常使用完全够用。并且无线快充也很快。买了45w的充电头是真的快。苹果的显示一直不错。但OLED 的色彩增加了饱满度是色彩有了厚度。移动5G下手机较热。希望OS更新后有改善。,14883874836,V***a,蓝色,100018281836,64GB,5
手机收到了，白色外观确实是小姐姐的最爱，屏幕感觉比11的强一点，看着舒服，音效和上一代比没感受到区别，牌照不错，尤其可以取消自拍镜像，这个不错，速度杠杠的，毕竟是地表最强处理器，待机时间有待进一步提升，电池容量还越来越小了,14839414423,c***j,白色,100018281836,128GB,5
一直用的苹果产品，一如既往的惊艳。手感颜值都很棒，系统运行特别流畅，各方面都很均衡。感觉白色典雅大气，果断入手，早上发货下午就到了，就是备货慢，不过也正常。感觉很棒，喜欢的友友果断入手，12已经非常够用了,14854853325,二倍焦距-,白色,100018281836,128GB,5
"外形外观：外观来说，回归iPhone5系造型，图6为5s
屏幕音效：屏幕效果比原来的XR好很多，音效没有区别！杜比视界看视频好很多！因为我一直三星S系列，现在用的11pm，所以我的感觉没有很强烈，但是和XR对比，真的是爽翻
拍照效果：拍照的话也是对比上一代明显提升，硬件和算法都有提升，速度也好一些了！
运行速度：运行很流畅，这个没的说，4+128的组合，战两年无压力！如果不追求快的话，用3年以上都行！毕竟iOS天生优势
待机时间：待机时间还没测定，铁定没有XR好，毕竟电池缩水屏幕提升，和我的11PM也应该没得比，毕竟轻了一两
其他特色：12系列优先推荐12，白色真的很好看！",14826568252,黄家程ZWong,白色,100018281836,128GB,5
"外形外观：外观回到以前 还是一直喜欢  手感也不错 重量相当
屏幕音效：视频、音乐声音都很大 非常好 电话语音也清醒
运行速度：运行速度快 用起来很顺
待机时间：不怎么玩游戏 待机时间 很长
拍照效果：拍照效果技术一直很好  用来拍摄视频
其他特色：京东物流不错 送货快 快递员服务好",14936307700,jd_2933087,白色,100018281836,128GB,5
"外形外观：好看
屏幕音效：很好
运行速度：很流畅
待机时间：一般般毕竟才两千多毫安时的电池
拍照效果：很棒
其他特色：ios系统杠杠的",14819909234,大猪蹄丶子,白色,100018281836,128GB,5
"外观非常漂亮，手感非常好，物流速度非常快。
用了一个星期挺满意的，ios系统非常顺畅，信号也很好，没有晚上所说的这么差&hellip;电池也耐用。",15231509602,心照不宣lcb,绿色,100018281836,128GB,5
外形外观：用了几天才来评价，手机很轻，手感很好 外观漂亮！运行速度很快，音质和拍照都特别棒！用过苹果手机的都知道，安卓手机是没法比的 目前用的是4G网络，续航方面还行，正常用一天没问题，不知道以后用5G网络续航还能不能跟上，屏幕很好，没有出现绿屏，总体来说还是不错的，值得购买！！,14944738379,j***e,蓝色,100018281836,128GB,5
电还算勉强够用，连接WiFi下载软件很快，手机也流畅，声音特别大声，听说有割手的情况特意感受了一下，没发现有特别割手，没到手的时候还担心握着手感不好，拿上手之后，**，真香！老荣耀8X该退休了。,15144550735,X***e,黑色,100018281836,256GB,5
"外形外观：超薄机身设计，简单大方，手感很好。
拍照效果：像素很清晰
运行速度：5G
待机时间：第一天拿到手机还没检验过
屏幕音效：还不错
其他特色：用过以后在追评",15031331682,QiaoRong_乔,白色,100018281836,128GB,5
"外形外观：外观很好看，很有质感，很轻，很适合自己的尺寸，不大不小
屏幕音效：屏幕这次要比以前的都好，
拍照效果：拍照没怎么体验，平时也不怎么拍照
运行速度：a14处理器，运行十分流畅。
待机时间：待机时间还行，早上7点100的电，到下午5点48还有60的电",14825511712,jd_139735zfw,黑色,100018281836,128GB,5
苹果这次回归到方正设计，手感非常好，也很漂亮。 OLED 屏幕显示效果色彩和对比度非常高，屏幕也做平了前后摄都支持夜间模式。12和12Pro 同样分辨率的屏幕，音量也很大，立体声效果明显，加上杜比立体声音效特别棒。,15030243681,j***w,绿色,100018281836,256GB,5
"外形外观：和5s很是相像，拿手里很舒服
屏幕音效：声音很大，也很清脆，屏幕感觉有点拖影！慢慢研究吧！
拍照效果：拍照比我的6splus好很多！
运行速度：运行速度快！我是是从5s开始用苹果手机的！已经习惯了这个系统！所以这次也选择了苹果，一开始想上12pro Max的！后来想想何必花那冤枉钱呢？我又不是拍照狂！这个12足够日常使用了！",15134141789,鸢飞鱼悦,蓝色,100018281836,128GB,5
圣诞节LG买给我的礼物，红色的很漂亮，特别适合女生。而且是双卡双待，放两张手机卡很方便！一直用的苹果手机，系统很好，一直运行很快。所以换手机还是选择苹果。在京东商城购买手机完全可以放心！有品质保证，而且有完善的服务体系。,15258284623,hy_Yvonne,红色,100018281836,256GB,5
外观颜色很喜欢。一直等着。付款半个月发的货。屏幕不错 音效也很好。拍照更清晰了。运行速度一如既往 苹果就是系统很??。待机时间面前很不错。就是自己在单独买充电器比较麻烦。买的后来到货。充电速度很快。很快就充足。很合适,15011765965,么***然,绿色,100018281836,128GB,5
首先收到货第一感觉颜值很高，淡淡的绿色特别清爽，对于女生来说上手也很容易，界面清晰，运行流畅，看视频挺好，照照片也挺真实清楚的，手感好，从京东上买手机品质信得过！,15292875961,j***f,绿色,100018281836,128GB,5
苹果手机就是好！使用起来那真是谁用谁知道，爽！照片效果真实，么有任何美颜效果，就喜欢这种效果！系统独特快速，比较安全，使用久无卡顿，真是值得拥有啊！,15219249965,柠檬味-十足,红色,100018281836,128GB,5
"外形外观：心心念念好久终于买回来了。特别漂亮 买的白色 回到iphone4经典造型才购买的
屏幕音效：实际感受特别地舒服
拍照效果：还好 够用就可以
运行速度：完美
待机时间：一般吧 还算可以
其他特色：特别贵",14844127358,划船不用桨1988,白色,100018281836,256GB,5
"外形外观：没有像网上传的那样会受手，购买前还去过实体店看过真机，相比苹果11要贵上很多。花了几个月东西才买到，第一次使用苹果手机，希望不会让我失望。
屏幕音效：喇叭音质感觉没有国产手机好。
拍照效果：拍照其实很强大，夜景很不错，下面有图片，我是用苹果12拍的。
待机时间：新机待机时间很长，充电速度一般般。今年苹果没有充电头，感觉太坑了。
运行速度：运行流畅是苹果果粉一致认可。
其他特色：10号晚上看见只剩下一件，立马抢购的。货源紧张的很，已经过去一个多月了，还是一样的。",14894714161,张家老二9,黑色,100018281836,128GB,5
手机很好用，很流畅，喜欢，把之前的苹果7给老公用了，苹果手机真的可以用很久，我7用了四年，感觉我老公怕是四年后可以用上苹果12，哈哈哈,15094253102,茵茵是个大宝贝,白色,100018281836,128GB,5
"外形外观：萝卜白菜，各有所爱
屏幕音效：超级好
拍照效果：苹果录视频无敌的存在
运行速度：我的小6s用了五年没问题！
待机时间：一般
其他特色：和我媳妇的11差不多！",15089621835,jd_181315fqz,黑色,100018281836,128GB,5
非常满意的一款手机，经典时尚的外形强大的处理器科技感十足，屏幕感应超棒，秒开各种app ，拍照拍视频超级无敌，最牛的还是自带低音炮，裸机放音乐超爽?,15213500041,j***f,黑色,100018281836,256GB,5
"很不错&hellip;&hellip;原先的7p用的有点腻了。换了12真香，大小合适一个?也能操作！屏幕OLED很舒服，自然，比华为的30好多了，不刺眼，不伤眼！很棒电池也经用不像网上说的电池小&hellip;&hellip;不经用！
拍照效果：很自然，柔和！逼真
屏幕音效：立体声扬声器环绕音效好棒?",14856102655,闫钰cherry,红色,100018281836,128GB,5
"外形外观：外观非常漂亮，颜值很高，特别是白色
屏幕音效：屏幕大气，超大屏，音效特别好，打电话声音很大很大
拍照效果：拍照效果特别好，清晰，像素很高
运行速度：手机反应特别快，从ip7走过来的，比7好用多了不错
待机时间：充满电可以连续玩一整天没问题，支持苹果系统
其他特色：手机特别大气，颜值很高，自己买了充电器，用20瓦的充电器充电很快很快，很快就充满了，5G网络特别好用，网速超快，手机反应超快，功能简易好操作，很值得上手，目前没发现有任何缺点，喇叭声音很大，音效清晰，很完美的一款手机，十二香脆，不错不错不错",14797258730,jd_150655wmn,白色,100018281836,128GB,5
外观硬朗大气，买的黑色，搭配蓝色外壳！屏幕超敏感，很舒服！电影效果大片的感觉，待机还有待使用后在评论。,14793948075,陈沫含1314,黑色,100018281836,256GB,5
"外形外观：iPhone12白色版本超级好看
屏幕音效：非常的nice呀
拍照效果：我觉得用起来很棒哒
运行速度：iOS的动画很丝滑
待机时间：日常使用不玩游戏，没什么问题哒
其他特色：手感超级棒，iPhone的工艺做的就是好，摸着很舒服，7.4mm的机身厚度和162G的轻薄重量，配合全球第一款5**芯片这次iPhone12用的是高通的基带，信号比前几款iPhone强多了，边框控制的也好看，5G的iPhone可以用好几年了嘿嘿嘿。",14793490725,Yoshikiri,白色,100018281836,128GB,5
"手机很不错，已验证。绿色，正品行货，真香&hellip;&hellip;    快递就是快，上午买的，下午就到了。
外形外观：经典外观，手感超级好，轻盈，
屏幕音效：立体声，声音透彻，
拍照效果：拍照真实，超广角，夜景拍摄也不错?
运行速度：快到想哭&hellip;&hellip;",15235111070,crystal200pw,绿色,100018281836,128GB,5
期待了好久好久好久好久的iPhone12终于拿到手了，买了最大内存的为以后的照片和视频做准备物流真的太快了前一天晚上十点多第二天上午就到了快递小哥点赞。另外按照网上分享的方法查阅了序列号，以及用软件验证是否是新机。查询的一切结果都正常，而且整体效果也确实满足自己的期待，超级超级满意，爱上苹果。不过这个数据线确实没有想到，一边是type C，一边是IOS的接口，确实让人不好处理啊，庆幸的是我的电脑是type C接口的，可以用电脑给它充电，充电头得自己买了，这个数据线也不太方便，不太实用啊。,15210698501,X***1,白色,100018281836,256GB,5
"外形外观：手感真的很棒
屏幕音效：音效这方面我是真的佩服苹果
运行速度：还成吧
拍照效果：前置不错 后置也不错
待机时间：一天一充 升级之后感觉电耗挺快
录像音效很棒",15028042810,susanwjh,黑色,100018281836,128GB,5
"外形外观：美观大方，手感一流，和图片一样。
屏幕音效：显示清晰，色彩绚丽。
拍照效果：效果不错
运行速度：非常快
待机时间：比前代产品长很多。
其他特色：无需预约，不用排队等待，下单12个小时到货，京东快递100分",14946188708,jd_138098rob,蓝色,100018281836,256GB,5
"物流速度不错，送快递的人也很好，已经使用几天了，已经验机，也看了是否绿屏，目前没有一点问题，用一段时间再来追评哦！
外形外观：牛皮
屏幕音效：牛皮
拍照效果：牛皮
运行速度：牛皮
待机时间：牛皮
其他特色：牛皮",15198488356,j***2,绿色,100018281836,128GB,5
下定决心终于买了，整体来说还是不错的，尤其是流畅度特别的好，整体外观来说也很不错，拍照也是非常的清晰，运行速度就更不用说了，很快，刚买几天，续航时间还需要再观察一下，还可以。屏幕的话，清晰度还可以，绿屏现象不是很明显！再看看吧！整体来说还可以！,15083507358,jd_150368dre,蓝色,100018281836,128GB,5
"已经用了手机一段时间了，挺好的，没有绿屏现象，手机电池感觉也还是蛮耐用的，一开始觉得方方的卡手，现在用习惯了，真香哈哈
外形外观：买的黑色很酷
屏幕音效：音效绝了，特别是横屏看视频或者玩游戏的时候，感觉自己把耳朵放进了音箱里",15268523875,j***6,黑色,100018281836,128GB,5
"外形外观：方形，好看，红色很正，显高贵
屏幕音效：显示很清晰
运行速度：打开应用快，唰唰的
拍照效果：像素高
待机时间：较好
其他特色：新款iPhone12 红色大气上档次，支持5G信号，值得入手",15000917450,热狗火腿,红色,100018281836,128GB,5
"外形外观：相比11，这款绝对的小巧伊人，而且薄
屏幕音效：漂亮  棒棒哒
拍照效果：很好  比其他号称几千万像素的清楚，和11差不多
运行速度：超快，这一点和11对比太明显了，终于换了高通基带
待机时间：新机待机很可以
其他特色：每年都是出了新品  淘汰老款，除了外壳容易掉漆，别的还是比较完美的，苹果系统速度相当快，我说运行软件，信号除外，这次的改变很大，手里有华为5G的手机，信号相比还是华为更快，系统苹果更舒服，这是我个人感受，国货还需努力！京东爱回收直接把11回收了，高于市场价很多，我感觉很合适，比在一些平台更安全可靠",14804716906,j***t,黑色,100018281836,128GB,5
"拿到还是很好的，总得很好机器也很完美 总体是不错的体验 很舒服 也没有绿屏 也没掉漆 还是很不错的一次购物体验
希望后面用还很好用 没毛病",14994503328,BrianXinJ,黑色,100018281836,128GB,5
"屏幕音效：很清晰，比之前的荣耀好多了
外形外观：设计好，跟之前4s很像
运行速度：流畅
拍照效果：很好，成像效果不错",14900103413,j***l,黑色,100018281836,64GB,5
当天就收到了手机，速度之快，超赞。外包装一如既往的好，京东有加了一个外包装纸盒。双保险防止磕碰。盒子里有一根充电线和一个小顶针，没有充电头。手机外观很漂亮。大小合适。拿在手上很有质感。非常满意。已经开始使用了，速度很快，质量很好，值得购买,14845248450,璞庸,白色,100018281836,128GB,5
"外形外观：外观致敬8年前的iPhone 5，哈哈
屏幕音效：音质比11又提升了，嘿嘿
拍照效果：拍照效果还是有明显的提升的
运行速度：流畅自然，线性运行！
待机时间：电池应该没有提升，用5G估计续航会比11更短
其他特色：边框我还是很喜欢的，附上8年前经典的iPhone 5一张，哈哈",14992707576,耒阳陈冠希,黑色,100018281836,256GB,5
"外形外观：白色经典又耐看，致敬乔布斯的经典框，回归经典4s设计，裸机颜值很高，拿着也比苹果x轻太多了
屏幕音效：屏幕要比之前用的苹果x大一个边
拍照效果：夜间拍照很亮，拍出来跟白天差不多
运行速度：反应速度很快，开机也很快
待机时间：待机时间够用一天，电池很耐用
其他特色：摄像头很酷",14946357508,乖点就抱你了y,白色,100018281836,128GB,5
京东一如既往，买个苹果12绿色太难了，等了好久，可算拿到货256总是缺货，买个老婆给他换个机子用，希望他喜欢，绿色真心很好看，苹果的新机不用担心，有质保，正常使用奋战三年加。没有充电器，买的紫米，传统原装是大口的，配的线是C-L必须买，额外花钱呗。,14859451620,x***0,绿色,100018281836,256GB,5
时隔四年，从小7到12。后者屏幕更大，厚度也更厚，成了&ldquo;全屏&rdquo;，而且无home键了。质感很好，白色依旧经典清新。反应也快。128g目前够用，256应该更好。,14871163519,j***f,白色,100018281836,128GB,5
经典的外观，回归4s、5，拿到手后，并没有很割手，第一感觉就很轻薄，非常的轻薄。再说一点，绿色是真的好看。赞赞赞，摄像头提升非常大。夜间非常漂亮。,14810087528,一个人joe,绿色,100018281836,128GB,5
"外形外观：方方正正的，手感很好，轻薄
屏幕音效：双扬声器，外放音质不错
运行速度：快，快，快
待机时间：不重度使用可以用两天没问题，",15301394806,j***3,绿色,100018281836,128GB,5
"外形外观：轻薄精致，红色特别好看
屏幕音效：新的OLED屏幕显示效果一流
拍照效果：一如既往的好用，成像效果好
运行速度：A14处理器，性能卓越",14810443689,Jasonshia先生,红色,100018281836,128GB,5
"运行速度：运行方面不用我多说了吧 最新的系统芯片  打开好几个软件来回切换都是流畅非常快
拍照效果：拍照的话 比我之前用的7p 提升了很大 我本来也挺爱拍照的
屏幕音效：屏幕怎么说呢 我不太了解  音效方面这个就真的是可以 听歌时候感觉带有低音炮那样 音质杠杠的
外形外观：我买的白色 我觉得白色太nice了 低调带点高级
待机时间：待机状态的话 你就平常看看视频玩玩其它软件 是可以一天的
其他特色：特色的话 别人看着我玩都感觉特别香 这是一种吸引力 自己用着是一种享受",15047556673,4***o,白色,100018281836,128GB,5
"外形外观：很合适，手感还不错
待机时间：续航还可以，基本上早上9点到下午5点没关机。
屏幕音效：声音很有质感，有杜比音效，声音也很大。
运行速度：运行速度很流畅
拍照效果：防抖很厉害
其他特色：晚上拍照比之前清晰多了，定位也比11的精准，导航反应速度非常快。",14894674714,省***哥,黑色,100018281836,128GB,5
"外形外观：果绿色真的超级超级好看，跟我老公一人入手一台，喜欢12的边框设计
屏幕音效：前一个手机是8p，我感觉12的音效比8P好，更加立体
运行速度：运行速度是我所有手机里面最满意的，相对安卓，苹果虽然贵，但是它用了两年真的不卡
待机时间：目前刚买，感觉续航能力还行吧",15294577108,噢阿颖,绿色,100018281836,128GB,5
苹果系统很有黏沾性，用着很省心，没有太复杂的设置，但是现在和安卓旗舰机相比还是有差距的，比如说充电方便，比如通话录音，比如骚扰拦截。京东物流真是快，早上买，下午就到了。,15213817013,Y***-,白色,100018281836,128GB,5
把7摔坏了，只有买12了，要买就买最新的，机器外观又回归到了福布斯的经典4的造型，但屏占比更大了，屏幕达到了6.1英寸，屏用了OLED屏，显示的效果更棒了，色彩的还原也更好了，清晰度，色彩都到了一定的高度，运行的速度更快了，iPhone12值得拥有，京东购物，值得信赖。,15216456583,jdtanghowfz,蓝色,100018281836,128GB,5
"12质量非常好，5G速度更加快，和我的苹果5外形一样轻，之前苹果5用了5年没4G就换了小米5用了2年安卓通病用久会卡，感觉还是苹果好用，又换回苹果XR，本来想XR用到4G不能再用才换的，但5G太吸引我了就把用了八个月的XR用京东爱回收换购XR卖了2100京东又补贴300元还是很值的，用过五代、6s Plus、XR、11还有12机型待机时间最长是XR和11的。5G真来了，小城市都显示5G了，4G看来真快淘汰了。
外形外观：好用，很轻
屏幕音效：提示音没XR和11的大。
拍照效果：很清晰
运行速度：快快
待机时间：没XR和11的长
其他特色：ios就是好",15174617049,蚊***神,蓝色,100018281836,128GB,5
设计做工优良，出模反应速度不错嗯，一贯的做工质量蛮好京东的物流很快，拍照效果也不错，屏幕显示也不错，真体，整体效果不错，给予十分好评,15238930389,kusenxiong,白色,100018281836,128GB,5
"外形外观：很喜欢，外观方正，买的黑色。手机掉锅里了，不然我的6s还可以用一段时间！
屏幕音效：屏幕比我的6s好多了，扬声器声音也比6s大，非常满意。
拍照效果：比6s清楚，对焦快，夜光效果很好。
运行速度：安装软件很快，5G速度也快多了。
待机时间：我能用2天，用的比较少！
其他特色：没有充电器，之前的6s充电器，太慢了，买了一个原装20w充电头，花了149，充电挺快的！很满意。",14810595156,jd_我爱郑大,黑色,100018281836,128GB,5
刚开始拿在手上感觉比较轻，习惯了觉得很轻巧，大小刚刚好，挺顺手的，经典的直边边框手感不错，系统就不用说了，非常流畅，屏幕显示细腻，看着很舒服，夜景提升很大，拍出来的效果棒棒的，虽然电池容量不大，正常使用一天问题不大，充电觉得还可以接受10%充电20分钟可以冲到45%左右，没有电时应急一下赶时间这个速度还可以接受！,14991959962,jd幸福小猪-S,黑色,100018281836,256GB,5
"外形外观：外观回归直角，给女朋友买的她很喜欢。
屏幕音效：屏幕和12pro同款屏幕奈斯！音效苹果一直都是双立体音。
拍照效果：苹果的拍照不用说，还是那样丝滑流畅奈斯！
运行速度：A14  5** 奈斯
待机时间：待试用中，不过女生用一般都够了。",14828959242,jd_135942beo,白色,100018281836,256GB,5
"外形外观：一贯坚持简约而不简单的风格
屏幕音效：屏幕分辨率超高，音效立体
拍照效果：苹果的核心技术就是拍照的真实感和清晰度，真的秒杀别的手机！
运行速度：苹果自己的独立系统，基本不会出现卡顿和死机的情况，这也是一直买苹果手机的原因，可以说是快准狠
待机时间：还好吧，比起之前的系列有所提升！
其他特色：苹果12的蓝色真的比较惊艳，很喜欢！",15309308310,岚***b,蓝色,100018281836,128GB,5
"外形外观：苹果这次设计回归到方正设计，致敬经典，手感非常好，也很漂亮。
屏幕音效：OLED屏幕加持，显示效果色彩和对比度非常高，屏幕也做平了，摸着很舒服。
拍照效果：前后摄都支持夜间模式了，暗光下拍照也非常棒！12这次的摄像没让我失望哈。
运行速度：地表最强A14处理器，配合iOS不管是日常使用还是玩游戏都非常流畅，不卡顿！
待机时间：这次升级到了5G网络，A14（5纳米）整体功耗很低，但因为5G相对会减少一定到续航，但实际上使用还是非常耐电的，配合20瓦的快充无需担心电量。
其他特色：整体使用起来不错，还是很多亮点的，期待接下来的使用。",14870813259,151*****820_p,蓝色,100018281836,128GB,5
"外形外观：方方正正乔布斯的感觉 特喜欢黑色。大气上档次
屏幕音效：很赞
拍照效果：完美摄影单反同级别
运行速度：零卡顿 秒天秒地秒安卓
待机时间：避免不了一天一充
其他特色：5g 方正 尺寸完美 快充",14799119347,Z_wen聪,黑色,100018281836,64GB,5
16号预约第一批次抢到，今天早上八点钟京东准时处理订单。一看到货马上就去自提了，这次买的12，256G内存的。这下不用担心内存不够的问题了，颜色非常靓丽，机身非常轻薄，至于拍摄效果和运行体验那些晚上开箱后把旧手机资料转移过来再体验，体验后再追加评论，12是非常值得购买的一款手机。,14788025501,狂***吻,绿色,100018281836,256GB,5
"外形外观：2020款iPhone沿用了4和5的直角边框设计、拿在手里握持感很棒、（有的人会觉得硌手，其实带上保护壳非常舒服、况且手机厚度非常轻薄）大小合适刚刚好
屏幕音效：屏幕采用了全新的OLED屏幕显示效果比我XR提高太多了，还加入了全新杜比音效（音质效果非常出色，看电影很震撼）
拍照效果：拍照（虽然只有两个摄像头、但是夜拍效果还是非常不错、特别是这个超广角镜头，个人非常喜欢，拍人物风景都用的到）PS下面是在成都太古里拍摄样张照片（上传画质被压缩、大概看一下）
运行速度：全新A14处理器非常nice、我不太喜欢打游戏（男人过了25岁就应该放弃游戏，开启新的模式）所以呢！处理器对于我严重过剩吧、哈哈、128G装照片视频比较多
待机时间：待机时间你们懂的（相比上一代压缩了）我只敢用4G网络（5G手机呀&hellip;&hellip;",15015646850,麦卡杜的左手,白色,100018281836,128GB,5
"外形外观：今年的外观终于变了，直角的边框，非常的具有质感。
屏幕音效：屏幕很棒，看着非常舒服，音效也非常的好，看视频非常好。
拍照效果：除了鬼影，这个非常棒。
运行速度：一个字，就是快。
待机时间：很棒。",14954319333,爱听歌的Garfield,绿色,100018281836,128GB,5
